,Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products,Clean Brand
416,Pura d'or,Bruno Lima and Richie Stapler,False,False,2011,"Hair ,Men",13,False
417,Pureology,Jim Markham,False,False,2001,"Hair, Gifts",57,False
418,pursoma,Shannon Vaughn,True,False,2014,"Bath & Shower ,Body Moisturizers",7,False
419,PYT Beauty,Amy Carr and Mary Schulman,True,False,2018,"Makeup ,Gifts",19,True
420,PÜR,Jay Klein,False,False,2010,"Makeup, Skin Care, Gifts, Tools & Brushes",54,True
421,Qhemet Biologics,Felis Butler,True,True,2004,"Shampoo & Conditioner ,Treatment ,Styling Products",8,False
422,Ralph Lauren,Ralph Lauren,False,False,1967,"Fragrance ,Men ,Gifts",16,False
423,RapidHair,Rob Trow,False,False,2014,,1,False
424,Rapidlash,Rob Trow,False,False,2008,"Lash Primer & Serums ,Eyebrows ,Mascara",4,False
425,Real Techniques,Samantha Chapman and Nicola Haste,True,False,2011,"Tools & Brushes ,Makeup ,Gifts ,Skin Care",54,True
426,Rebels Refinery,Eric Fallon,False,False,2012,,4,False
427,Redken,Jheri Redding,False,False,1960,"
Hair, Men, Gifts",141,False
428,Remington,Eliphalet Remington,False,False,1816,"Tools & Brushes ,Bath & Body ,Men ,Hair ,Gifts",9,False
429,Revlon,Charles Revson,False,False,1932,"Makeup, Tools & Brushes, Bath & Body, Nails, Hair, Gifts, Skin Care, Men",100,False
430,Revolution PRO,Andy Quildan,False,False,2012,"Makeup ,Gifts",9,False
431,Riki Loves Riki,Wanchen and Erik Kaiser,False,False,2020,,4,False
432,RITUALS,Raymond Cloosterman,False,False,2000,"Bath & Body ,Gifts ,Fragrance",25,False
433,Rituel de Fille,"Katherine, Caroline, and Michelle Ramos",True,False,2014,"Makeup ,Skin Care",5,True
434,Rizos Curls,Julissa Prado,True,True,2017,"Hair ,Tools & Brushes ,Gifts",12,True
435,Rosebud Perfume Co.,George F. Smith ,False,False,1895,"Skin Care ,Gifts",8,False
436,ROSEN,Harris Rosen,False,False,1974,"Treatment & Serums ,Cleansers ,Moisturizers",5,False
437,Rusk,Irvine and Louise Rusk,True,False,1993,"Shampoo & Conditioner ,Treatment ,Styling Products",15,False
438,Sacheu,Sarah Cheung,True,True,2020,"Skin Care ,Tools & Brushes ,Gifts",4,False
439,Sagely Naturals,Kerrigan Behrens and Kaley Nichol,True,False,2015,"Self Care & Wellness ,Body Moisturizers",6,False
440,Sally Hansen,Sally Hansen,True,False,1946,"Nails, Bath & Body, Gifts, Hair",80,False
441,SAND & SKY,Sarah Hamilton and Stephanie Michel,True,False,2017,"Skin Care ,Bath & Body",8,False
442,Sara Happ,Sara Happ,True,False,2005,"Skin Care ,Makeup ,Gifts",10,False
443,Schick,Jacob Schick,False,False,1926,"Bath & Body ,Tools & Brushes ,Men",12,False
444,Schmidts,Jaime Schmidt,True,False,2010,"Skin Care ,Bath & Body",5,False
445,SCRATCH,Mitchel Resnick and David Siegel,False,False,2007,,7,False
446,Scünci,Lewis Hendler and Michael Todd,False,False,1959,"Tools & Brushes ,Hair ,Makeup ,Gifts",150,False
447,Sebastian,Geri Cusenza and John Sebastian,False,False,1972,"Hair ,Men",44,False
448,Seche,Bill and Charles Martens,False,False,1991,"Top & Base Coats ,Nail Care ,Nail Polish",5,False
449,Secret,William Procter and James Gamble,False,False,1956,,4,False
450,Seed Phytonutrients,Shane Wolf,False,False,2018,,1,True
451,SEEN,Iris Rubin,True,False,2014,"Shampoo & Conditioner ,Treatment ,Styling Products ,Travel Size",13,False
452,Sexy Hair,Michael O' Rourke,False,False,1998,"
Hair, Men, Gifts, Bath & Body",83,False
453,SheaMoisture,Sofi Tucker and Richelieu Dennis,True,True,1991,"Hair, Bath & Body, Skin Care, Tools & Brushes, Men, Makeup",110,True
454,Shimmer Lights,Prashant Thawani ,False,True,2010,"Hair ,Gifts",7,False
455,Shiseido,Arinobu Fukuhara,False,True,1872,"Skin Care, Bath & Body, Tools & Brushes, Makeup, Gifts",32,False
456,Silk'n,Moshe Mizrahy,False,False,2006,Tools & Brushes,2,False
457,sk*p,April Hardwick and Mark Veeder,True,False,2020,"Skin Care ,Hair ,Bath & Body ,Men ,Gifts",6,False
458,Skin Gym,Karina Sulzer,True,False,2017,"Skin Care ,Tools & Brushes",17,False
459,SKIN&CO,Gabriel Balestra,False,False,2014,"Skin Care ,Gifts",11,False
460,Skinfood,Yun-Ho Cho,False,True,1957,"Skin Care ,Bath & Body",20,False
461,SkinKick,Matty Schirle,False,False,2016,"Skin Care ,Gifts",6,False
462,Skinnydip,James Gold,False,False,2011,,5,False
