Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean
First Aid Beauty,Lilli Gordon,TRUE,FALSE,2008,"Skincare, Hair, Bath & Body, Makeup",38,37,0.97
Flora + Bast,Derek Chase,FALSE,FALSE,2019,"Skincare, Bath & Body",4,4,1.00
Floral Street,Michelle Feeney,TRUE,FALSE,2017,"Fragrance, Bath & Body",27,19,0.70
FOREO,Filip Sedic ,FALSE,FALSE,2013,"Skincare, Tools & Brushes",18,0,0.00
FORVR Mood,Jackie Aina,TRUE,TRUE,2018,"Fragrance, Bath & Body",8,0,0.00
Freck Beauty,Remi Brixton,TRUE,FALSE,2017,"Makeup, Skincare",7,4,0.57
fresh,Lev Glazman and Alina Roytberg,TRUE,FALSE,1991,"Skincare, Makeup, Bath & Body, Fragrance",107,78,0.73
ghd,"Robert Powls, Martin Penny, and Gary Douglas",FALSE,FALSE,2001,"Hair, Tools & Brushes",18,0,0.00
Gisou,Negin Mirsalehi,TRUE,FALSE,2015,Hair,15,0,0.00
Givenchy,Hubert de Givenchy,FALSE,FALSE,1987,"Makeup, Skincare, Fragrance",40,1,0.03
GLAMGLOW,Shannon Dellimore and Glenn Dellimore,TRUE,FALSE,2010,"Skincare, Makeup",23,0,0.00
Glamnetic,Ann McFerran,TRUE,TRUE,2019,Makeup,2,0,0.00
GLO Science,Jonathan B. Levine,FALSE,FALSE,2009,"Skincare, Tools & Brushes",7,0,0.00
Glow Recipe,Christine Chang and Sarah Lee,TRUE,TRUE,2014,"Skincare, Bath & Body, Makeup",22,22,1.00
Good Dye Young,Hayley Williams,TRUE,FALSE,2016,Hair,2,0,0.00
Google,Sergey Brin and Larry Page,FALSE,FALSE,1998,Tools & Brushes,1,0,0.00
goop,Gwyneth Paltrow,TRUE,FALSE,2008,"Skincare, Bath & Body, Hair",27,16,0.59
Grace Eleyae,Grace Eleyae,TRUE,TRUE,2015,"Hair, Tools & Brushes",7,0,0.00
Grande Cosmetics,Alicia Grande,TRUE,FALSE,2008,"Makeup, Skincare,Tools & Brushes, Hair",17,0,0.00
Gucci,Guccio Gucci,FALSE,FALSE,1921,"Makeup, Skincare, Fragrance, Tools & Brushes",57,0,0.00
GUERLAIN,Pierre François Pascal Guerlain,FALSE,FALSE,1828,"Makeup, Skincare, Fragrance, Bath & Body, Tools & Brushes",48,14,0.29
Herbivore,Julia Wills and Alex Kummerow,TRUE,FALSE,2011,"Skincare, Bath & Body, Tools & Brushes",31,28,0.90
HERETIC,Douglas Little,FALSE,FALSE,2010,"Fragrance, Skincare, Bath & Body",18,14,0.78
HERMÈS,Jean-Claude Ellena,FALSE,FALSE,2006,"Fragrance, Bath & Body",30,0,0.00
Hourglass,Carisa Janes,TRUE,FALSE,2004,"Makeup, Skincare, Bath & Body, Tools & Brushes",87,0,0.00
HUDA BEAUTY,Huda Kattan,TRUE,TRUE,2013,"Makeup, Skincare, Bath & Body, Tools & Brushes",70,0,0.00
HUM Nutrition,Walter Faulstroh,FALSE,FALSE,2012,"Skincare, Bath & Body, Makeup, Hair",26,0,0.00
Hyper Skin,Desiree Verdejo,TRUE,TRUE,2019,Skincare,2,2,1.00
Iconic London,Jade Elliott,TRUE,TRUE,2015,"Makeup, Skincare",11,0,0.00
IGK,"Franck Izquierdo, Chase Kusero, Aaron Grenia and Leo Izquierdo",FALSE,FALSE,2016,Hair,40,0,0.00
ILIA,Sasha Plavsic,TRUE,FALSE,2011,"Makeup, Skincare",34,33,0.97
INC.redible,Thea Green,TRUE,FALSE,2017,"Makeup, Skincare, Bath & Body",23,0,0.00
Indie Lee,Suee Wagners,TRUE,FALSE,2013,Skincare,5,5,1.00
The INKEY List,Colette Laxton and Mark Curry,TRUE,FALSE,2018,Skincare,43,21,0.49
iNNBEAUTY PROJECT,Alisa Metzger,TRUE,FALSE,2019,"Skincare, Makeup",10,8,0.80
innisfree,Suh Kyungbae,FALSE,TRUE,2000,"Skincare, Bath & Body",31,0,0.00
Isle of Paradise,Jules Von Hep,FALSE,FALSE,2019,"Skincare, Bath & Body",19,16,0.84
IT Cosmetics,Jamie Kern Lima and Paulo Lima,TRUE,FALSE,2008,"Makeup, Skincare, Bath & Body, Tools & Brushes",55,0,0.00
ITEM Beauty By Addison Rae,Madeby Collective and Addison Rae,TRUE,FALSE,2020,"Makeup, Skincare",15,15,1.00
Jack Black,"Curran Dandurand, Emily Dalton and Jeff Dandurand",TRUE,FALSE,2000,"Skincare, Makeup, Bath & Body, Fragrance, Hair",50,0,0.00
Jillian Dempsey﻿NEW,Jillian Dempsey,TRUE,FALSE,2014,"Tools & Brushes, Skincare",1,0,0.00
JIMMY CHOO,Jimmy Choo and Tamara Mellon,TRUE,FALSE,1996,Fragrance,3,0,0.00
JLo Beauty,Jennifer Lopez,TRUE,TRUE,2021,"Skincare, Bath & Body, Makeup",10,0,0.00
Jo Malone London,Jo Malone,TRUE,FALSE,1990,"Fragrance, Makeup, Skincare, Bath & Body",89,0,0.00
John Varvatos,John Varvatos,FALSE,FALSE,1999,Fragrance,2,0,0.00
Josie Maran,Josie Maran,TRUE,FALSE,2007,"Skincare, Bath & Body, Makeup, Hair",29,29,1.00
Jouer Cosmetics,Christina Zilber,TRUE,FALSE,2008,"Skincare, Makeup",26,0,0.00
Juicy Couture,Gela Nash and Pamela Skaist,TRUE,FALSE,1997,Fragrance,10,0,0.00
Juliette Has a Gun,Romano Ricci,FALSE,FALSE,2005,"Fragrance, Bath & Body",28,0,0.00
JVN,Jonathan McDonald Van Ness,FALSE,FALSE,2021,Hair,12,12,1.00
K18 Biomimetic Hairscience﻿NEW,Britta Cox and Suveen Sahib,TRUE,FALSE,2018,Hair,2,2,1.00
Kaja,Hyungseok Dino Ha,FALSE,TRUE,2018,"Makeup, Skincare,Tools & Brushes",21,0,0.00
Kate Somerville,Kate Somerville,TRUE,FALSE,2004,"Skincare, Bath & Body",42,0,0.00
KAYALI﻿NEW,Mona Monica Kattan,TRUE,TRUE,2018,Fragrance,23,0,0.00
Kérastase,François Dalle ,FALSE,FALSE,1964,Hair,106,1,0.01
Kiehl's Since 1851,John Kiehl,FALSE,FALSE,1851,"Skincare, Bath & Body, Makeup, Hair",84,1,0.01
KILIAN Paris,Kilian Hennessy,FALSE,FALSE,2007,Fragrance,27,0,0.00
Kitsch﻿NEW,Cassandra Thurswell,TRUE,FALSE,2010,"Hair, Tools & Brushes",7,0,0.00
KNC Beauty,Kristen Noel Crawley,TRUE,TRUE,2016,"Skincare, Makeup",2,2,1.00
Koh Gen Do,Ai Saotome,TRUE,TRUE,1986,"Skincare, Makeup",5,0,0.00
Kopari,Kiana Cabell and Gigi Goldman,TRUE,FALSE,2015,"Skincare, Bath & Body, Makeup",15,15,1.00
KORA Organics,Miranda Kerr,TRUE,FALSE,2009,"Skincare, Tools & Brushes, Bath & Body",14,12,0.86
KORRES,Lena Korres and Georgios Korres,TRUE,FALSE,1996,Skincare,15,14,0.93
Kosas,Sheena Yaitanes,TRUE,TRUE,2015,"Skincare, Makeup, Bath & Body",20,20,1.00
KVD Beauty,Kat Von D,TRUE,FALSE,2008,"Makeup, Skincare, Fragrance, Tools & Brushes",52,0,0.00
L'Occitane,Olivier Baussan,FALSE,FALSE,1976,"Skincare, Bath & Body, Makeup",30,0,0.00
L'Oreal Professionnel,Eugène Schueller,FALSE,FALSE,1909,"Hair, Tools & Brushes",2,0,0.00
La Mer,Max Huber,FALSE,FALSE,1994,"Skincare, Makeup, Bath & Body",50,0,0.00
Lancôme,Armand Petitjean,FALSE,FALSE,1935,"Makeup, Skincare, Fragrance, Bath & Body",96,0,0.00
LANEIGE,Suh Sung-whan,FALSE,TRUE,1945,"Skincare, Makeup",27,0,0.00
LASHFOOD,Faith Kim,TRUE,TRUE,2007,"Skincare, Makeup",3,3,1.00
Laura Mercier,Laura Mercier,TRUE,FALSE,1996,"Makeup, Skincare, Bath & Body, Tools & Brushes",59,0,0.00
LAWLESS,Annie Lawless,TRUE,FALSE,2017,"Skincare, Makeup",19,19,1.00
LightStim,Joni Marchese,TRUE,FALSE,2002,"Skincare, Tools & Brushes",3,0,0.00
lilah b.,Cheryl Yannotti Foland,TRUE,FALSE,2015,"Makeup, Skincare, Bath & Body",18,17,0.94
Lilly Lashes,Lilly Ghalich,TRUE,TRUE,2013,"Makeup, Tools & Brushes",11,0,0.00
Living Proof,Jon Flint and Robert Langer,FALSE,FALSE,2005,Hair,70,0,0.00
Lord Jones,Robert Rosenheck,FALSE,FALSE,2017,"Skincare, Bath & Body, Makeup, Hair",10,10,1.00
LXMI,Leila Janah,TRUE,TRUE,2015,Skincare,2,0,0.00
LYS Beauty,Tisha Thompson,TRUE,TRUE,2019,"Skincare, Makeup",9,9,1.00
