,Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean,Clean
263,SUNDAY II SUNDAY,Keenan Beasley,False,True,2020,"Skincare, Bath & Body, Hair",8,0,0.0,False
264,Sunday Riley,Sunday Riley,True,False,2009,"Skincare, Bath & Body, Hair",23,0,0.0,False
265,Supergoop!,Holly Thaggard,True,False,2007,"Skincare, Bath & Body, Makeup, Hair",34,34,1.0,True
266,Susteau,Kailey Bradt,True,False,2017,Hair,4,4,1.0,True
267,T3,Gay Warren Gaddis,True,False,1989,"Hair, Tools & Brushes",32,0,0.0,False
268,TAN-LUXE,"Brendan Heggarty, Marc Elrick, and Joanna Livingstone",True,False,2015,"Skincare, Bath & Body",14,0,0.0,False
269,tarte,Maureen Kelly,True,False,2000,"Makeup, Skincare, Bath & Body, Tools & Brushes",151,47,0.31,True
270,Tata Harper,Tata and Henry Harper,True,False,2010,"Skincare, Bath & Body",35,34,0.97,True
271,Tatcha,Vicky Tsai,True,True,2008,"Skincare, Bath & Body, Makeup, Hair",39,38,0.97,True
272,TOCCA,Tommaso Trionfi,False,False,1994,"Fragrance, Bath & Body",33,0,0.0,False
273,Together Beauty,Sam Brocato,False,False,2008,Hair,2,2,1.0,True
274,TOM FORD,Tom Ford,False,False,2005,"Makeup, Skincare, Fragrance, Tools & Brushes, Bath & Body",108,0,0.0,False
275,Too Faced,Jerrod Blandino and Jeremy Johnson,False,False,1998,"Makeup, Skincare,Tools & Brushes",63,0,0.0,False
276,Topicals,Olamide Olowe,True,True,2020,"Skincare, Bath & Body",6,4,0.67,True
277,Tory Burch,Tory Burch,True,False,2004,Fragrance,3,0,0.0,False
278,Touchland﻿NEW,Andrea Lisbona,True,False,2010,Bath & Body,2,2,1.0,True
279,Tower 28 Beauty,Amy Liu,True,True,2019,"Makeup, Skincare",8,8,1.0,True
280,Tweezerman,Dal LaMagna,False,False,1980,"Skincare, Tools & Brushes, Bath & Body, Makeup",20,0,0.0,False
281,Urban Decay,"Wende Zomnir, Sandy Lerner, Patricia L. Holmes, and David Soward",True,False,1996,"Makeup, Skincare,Tools & Brushes",60,0,0.0,False
282,Valentino,Valentino Garavani,False,False,1960,"Fragrance, Makeup",26,0,0.0,False
283,Vegamour,Daniel Hodgdon,False,False,2016,"Skincare, Bath & Body, Hair, Makeup",11,11,1.0,True
284,Velour Lashes,Mabel Lee,True,True,2011,Makeup,14,0,0.0,False
285,Verb,Claire Moses,True,False,2009,"Hair, Bath & Body, Tools & Brushes",44,0,0.0,False
286,Versace,Gianni Versace,False,False,1978,"Fragrance, Bath & Body",32,0,0.0,False
287,Viktor&Rolf,Viktor Horsting and Rolf Snoeren,False,False,1993,"Fragrance, Bath & Body",22,0,0.0,False
288,Violet Voss,Paula Hayes,True,False,2018,Makeup,17,0,0.0,False
289,Virtue,Melisse Shaban,True,False,2013,Hair,50,0,0.0,False
290,Viseart,Gilles Lapalu,False,False,2017,Makeup,7,0,0.0,False
291,Vital Proteins,Kurt Seidensticker,False,False,2013,"Skincare, Bath & Body",4,0,0.0,False
292,Vitruvi,Sean and Sara Panton,True,False,2014,"Skincare, Bath & Body, Fragrance",12,10,0.83,True
293,Volition Beauty,Brandy Hoffman and Patricia Santos,True,True,2016,"Skincare, Bath & Body",12,12,1.0,True
294,Voluspa,Troy Arntsen and Traci Arntsen,True,False,1999,"Fragrance, Bath & Body",74,0,0.0,False
295,Wander Beauty,Divya Gugnani and Lindsay Ellingson,True,False,2015,"Makeup, Skincare",12,9,0.75,True
296,Westman Atelier,Gucci Westman,True,False,2018,"Makeup, Tools & Brushes",21,21,1.0,True
297,Wishful,Huda Kattan,True,True,2020,"Skincare, Makeup",12,12,1.0,True
298,World of Chris Collins﻿NEW,Chris Collins,False,True,2018,Fragrance,11,0,0.0,False
299,Youth To The People,Greg Gonzalez and Joe Cloyes,False,False,2015,"Skincare, Makeup",24,21,0.88,True
300,Yves Saint Laurent,Yves Saint Laurent and Pierre Bergé,False,False,1961,"Makeup, Skincare, Fragrance, Bath & Body",69,0,0.0,False
301,19-69﻿NEW,Johan Bergelin,False,False,2017,Fragrance,14,0,0.0,False
302,54 Thrones,Christina Funke Tegbe,True,True,2016,Bath & Body,3,3,1.0,True
303,The 7 Virtues,Barb Stegemann,True,False,2010,"Fragrance, Bath & Body",22,21,0.95,True
304,8Greens,Dawn Russell,True,False,2014,"Skincare, Bath & Body",2,0,0.0,False
