,Brand Name,Owner,Female,POC,Year Founded,Product Types,Number of Products,Number of Clean,Percent Clean,Clean
53,Crown Affair﻿NEW,Dianna Cohen,True,False,2019,"Hair, Tools & Brushes",10,0,0.0,False
54,dae,Amber Fillerup Clark,True,False,2013,"Hair, Tools & Brushes, Fragrance",13,0,0.0,False
55,DAMDAM,Giselle Go and Philippe Terrien,True,True,2011,"Skincare, Makeup",5,0,0.0,False
56,Dame ProductsNEW,Alexandra Fine,True,True,2014,"Skincare, Bath & Body",10,0,0.0,False
57,Danessa Myricks Beauty,Danessa Myricks ,True,True,2015,"Makeup, Skincare",13,0,0.0,False
58,Deborah Lippmann,Deborah Lippmann,True,False,1999,"Makeup, Bath & Body, Tools & Brushes",26,0,0.0,False
59,DEREK LAM 10 CROSBY,Wendy Kahn,True,False,2003,Fragrance,12,0,0.0,False
60,DERMAFLASH,Dara Levy,True,False,2015,"Skincare, Tools & Brushes",5,0,0.0,False
61,Dermalogica,Jane Wurwand and Raymond Wurwand,True,False,1986,"Skincare, Bath & Body, Makeup",49,0,0.0,False
62,DevaCurl,Lorraine Massey,True,False,1994,"Hair, Tools & Brushes",37,0,0.0,False
63,Dior,Pamela Baxter,True,False,1946,"Makeup, Skincare, Fragrance, Bath & Body, Tools & Brushes",150,0,0.0,False
64,DOLCE&GABBANA,Domenico Dolce and Stefano Gabbana,False,False,1990,"Fragrance, Bath & Body",35,0,0.0,False
65,DOMINIQUE COSMETICS,Christen Dominique,True,False,2018,Makeup,2,0,0.0,False
66,Donna Karan,Donna Karan,True,False,1984,"Fragrance, Bath & Body",6,0,0.0,False
67,dpHUE,Donna Pohlad and Justin Anderson,True,False,2010,Hair,29,0,0.0,False
68,Dr. Barbara Sturm,Marla Malcolm Beck,True,False,2018,"Skincare, Bath & Body",44,0,0.0,False
69,Dr. Brandt Skincare,Stéphane Colleu,False,False,2000,"Skincare, Bath & Body, Makeup",30,0,0.0,False
70,Dr. Dennis Gross Skincare,Dennis Gross,False,False,2000,"Skincare, Tools & Brushes, Bath & Body, Makeup",45,0,0.0,False
71,Dr. Jart+,Lee Jin-wook,False,True,2004,"Skincare, Bath & Body, Makeup",34,0,0.0,False
72,Dr. Lara Devgan Scientific Beauty,Lara Devgan,True,True,2018,"Skincare, Makeup",10,0,0.0,False
73,Dr. Zenovia Skincare,Dr. Zenovia,True,False,2020,"Skincare, Bath & Body",13,0,0.0,False
74,Drunk Elephant,Tiffany Masterson,True,False,2013,"Skincare, Hair, Bath & Body, Makeup",47,0,0.0,False
75,Drybar,Alli Webb,True,False,2010,"Hair, Tools & Brushes",68,0,0.0,False
76,DUO,Arnold and Sydell Miller ,False,False,1971,Makeup,1,0,0.0,False
77,Dyson,James Dyson,False,False,1991,"Hair, Tools & Brushes",11,0,0.0,False
78,EADEM,Alice Lin Glover and Marie Kouadio Amouzame,True,True,2018,Skincare,2,2,1.0,True
79,Edible Beauty,Anna Mitsios,True,False,2014,Skincare,3,3,1.0,True
