Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										Buttah Skin
								",Dorion Renaud,FALSE,TRUE,2018,"Skin Care ,Bath & Body ,Gifts ,Tools & Brushes",17
"
										Buxom
								",Jill Scalamandre,TRUE,FALSE,2007,"
Makeup, Gifts, Skin Care",28
"
										Cake
								",Stefan Ytterborn,FALSE,FALSE,2013,"Shampoo & Conditioner , Styling Products , Treatment",15
"
										Calvin Klein
								",Calvin Klein,FALSE,FALSE,1978,"Fragrance ,Men",9
"
										CAMILLE ROSE
								",Janell Stephens,TRUE,TRUE,2011,"Hair ,Gifts",20
"
										CANNUKA
								",Michael Bumgarner,FALSE,FALSE,2018,"Skin Care ,Bath & Body ,Gifts",7
"
										Capelli New York
								",George Altirs,FALSE,FALSE,2011,,2
"
										Capri Blue
								",Castanea Partners,FALSE,FALSE,2012,,1
"
										Captain Blankenship
								",Jana Blankenship,TRUE,FALSE,2009,"Hair ,Gifts",9
"
										Carbon Theory.
								",Philip Taylor,FALSE,FALSE,2018,"Skin Care ,Bath & Body",9
"
										Carol's Daughter
								",Lisa Price,TRUE,TRUE,1993,"Shampoo & Conditioner ,Treatment ,Styling Products",19
"
										Carolina Herrera
								",Antonio Puig,FALSE,FALSE,1980,"Fragrance ,Gifts ,Men",17
"
										CeraVe
								", Tom Allison,FALSE,FALSE,2005,"Skin Care ,Men ,Bath & Body ,Makeup ,Gifts",43
"
										CHANEL
								",Alain and Gerard Wertheimer,FALSE,FALSE,1921,"
Makeup, Fragrance, Gifts, Men, Skin Care, Nails",101
"
										ChapStick
								",Dr. Charles Browne Fleet,FALSE,FALSE,1890,Makeup,7
"
										Chi
								",Farouk Shami,FALSE,TRUE,1986,"Hair ,Tools & Brushes ,Gifts",73
"
										China Glaze
								",Humberto Leon,FALSE,TRUE,1973,,1
"
										Chloé
								",Gaby Aghion,TRUE,FALSE,1988,"Perfume ,Rollerballs & Purse Sprays",8
"
										Clairol
								",Lawrence M. Gelb,FALSE,FALSE,1931,"Root Touch Up ,Hair Color & Bleach",8
"
										Clarins
								",Jacques Courtin,FALSE,FALSE,1954,"
Skin Care, Makeup, Bath & Body, Gifts",64
"
										Clean
								",Geoff S. and Deverey Kirk,TRUE,FALSE,1980,"Perfume ,Rollerballs & Purse Sprays",6
"
										Clinique
								",Evelyn Lauder,TRUE,FALSE,1968,"Skin Care, Makeup, Gifts, Men, Bath & Body, Fragrance, Tools & Brushes, Nails",268
"
										CND
								",Stuart Nordstrom and Jan Arnold,TRUE,FALSE,1979,"Nail Care ,Top & Base Coats",7
"
										CO. by Colgate
								",William Colgate,FALSE,FALSE,1806,,7
