Brands,Owner,Female,POC,Year Founded,Product Type,Number of Products
"
										Sunday || Sunday 
								",Keenan Beasley,FALSE,FALSE,2020,"Hair ,Skin Care ,Bath & Body",8
"
										Supergoop!
								",Holly Thaggard,TRUE,FALSE,2007,"Skin Care ,Bath & Body ,Makeup ,Gifts",20
"
										Supersmile
								",Irwin Smigel and Lucia Smigel,TRUE,FALSE,1987,,5
"
										SweetSpot Labs
								",Shari Creed,TRUE,FALSE,2003,"Bath & Body ,Skin Care ,Gifts",16
T3,Gay Warren Gaddis,TRUE,FALSE,1989,"Tools & Brushes ,Hair ,Gifts",27
"
										TAN-LUXE
								","Brendan Heggarty, Marc Elrick, and Joanna Livingstone",TRUE,FALSE,2015,"Skin Care ,Bath & Body ,Gifts",16
"
										Tangle Teezer
								",Shaun Pulfrey,FALSE,FALSE,2007,"Tools & Brushes ,Hair ,Gifts ,Men",32
"
										Tanologist
								",Lottie Tomlinson,TRUE,FALSE,2018,"Skin Care ,Bath & Body ,Gifts",11
"
										Tartan + Twine
								",Suzanne G,TRUE,FALSE,2014,"Makeup ,Gifts ,Tools & Brushes ,Skin Care ,Hair ,Bath & Body",54
"
										Tarte
								",Maureen Kelly,TRUE,FALSE,2000,"Makeup, Skin Care, Gifts, Tools & Brushes, Bath & Body, Hair",118
"
										Teami Blends
								",Adi Arezzini,TRUE,FALSE,2013,"Skin Care ,Bath & Body",9
"
										Terra Beauty Bars
								","Fernanda, Luana, Jasmine, and Angela",TRUE,TRUE,2016,"Skin Care ,Bath & Body ,Gifts ,Nails ,Hair",14
"
										tgin
								",Chris-Tia Donaldson,TRUE,TRUE,2011,"Hair ,Tools & Brushes ,Bath & Body ,Skin Care",27
"
										Thayers
								",Henry Thayer,FALSE,FALSE,1847,"Cleansers ,Moisturizers ,Travel Size",9
"
										The Crème Shop
								",Theresa and Lawrence Kim,TRUE,TRUE,1988,"Global Skin Care ,Treatment & Serums ,Moisturizers ,Eye Treatments",20
"
										The Fox Tan
								",Olivia Zorzut and Kelly Euripidou,TRUE,FALSE,2015,"Skin Care ,Bath & Body",10
"
										The Good Patch
								","Betsy Scanlan, Kelly Brock, and David Nicholson",TRUE,FALSE,2018,Sleep Essentials,12
"
										The Hair Edit
								",James Simon,FALSE,FALSE,2019,"Tools & Brushes ,Hair",43
"
										The Handmade Soap Co.
								",Donagh Quigley,FALSE,FALSE,2009,"Bath & Body ,Gifts ,Fragrance",29
"
										The Mane Choice
								",Courtney Adeleye,TRUE,TRUE,2013,"Hair ,Skin Care ,Bath & Body",20
"
										The Ordinary
								",Jo Ingram,TRUE,FALSE,2012,"Skin Care , Makeup, Hair, Gifts",51
"
										The Original MakeUp Eraser
								",Elexsis McCarthy,TRUE,FALSE,2013,"Skin Care ,Makeup ,Gifts",7
"
										THE ROUTE
								",Evan Walker,FALSE,FALSE,2018,"Skin Care ,Makeup ,Gifts",11
"
										Thick Head
								",Jennifer Jackson,TRUE,TRUE,2015,"Men ,Hair ,Skin Care ,Gifts ,Bath & Body",5
"
										this works
								",Kathy Phillips,TRUE,FALSE,2003,"Bath & Body ,Gifts",6
"
										Tiffany & Co.
								",Charles Lewis Tiffany and John B. Young,FALSE,FALSE,1837,"Fragrance ,Gifts ,Men",6
"
										Tigi
								",Anthony Mascolo,FALSE,FALSE,1986,"Treatment, Styling Products",4
"
										TOM FORD
								",Tom Ford,FALSE,FALSE,2005,"Fragrance ,Men ,Gifts",21
"
										TONYMOLY
								",Haedong Bae,FALSE,TRUE,2006,"Skin Care, Gifts, Bath & Body",70
"
										Too Faced
								",Jerrod Blandino and Jeremy Johnson,FALSE,FALSE,1998,"Makeup, Gifts, Skin Care, Fragrance",55
"
										Toppik
								",Mark H. Kress,FALSE,FALSE,1981,"Hair ,Men",13
"
										Tory Burch
								",Tory Burch,TRUE,FALSE,2004,"Fragrance ,Gifts",6
"
										Touchland
								",Andrea Lisbona,TRUE,FALSE,2010,,3
"
										Tree Hut
								",Julia and Joh Olson,TRUE,TRUE,2002,"Bath & Body ,Skin Care ,Gifts",44
"
										Tresemme
								",Edna L. Emmé,TRUE,FALSE,1948,"Styling Products ,Shampoo & Conditioner ,Treatment",16
"
										Treslúce Beauty
								",Becky G,TRUE,FALSE,2021,"Makeup ,Tools & Brushes",11
"
										Truly
								",Erol Toker,FALSE,FALSE,2016,"Skin Care ,Bath & Body ,Hair ,Gifts ,Men ,Makeup ,Fragrance",99
"
										Tula
								",Roshini Raj,TRUE,TRUE,2013,"Skin Care ,Gifts ,Makeup ,Bath & Body",57
"
										Turbie Twist
								",Angela Carr and Christina Cummings,TRUE,FALSE,2006,"Bath & Body ,Gifts",4
"
										Tweezerman
								",Dal LaMagna,FALSE,FALSE,1980,"Tools & Brushes ,Makeup ,Nails ,Bath & Body ,Gifts ,Men ,Skin Care",51
"
										Tyme
								",Jacynda Smith,TRUE,FALSE,2020,,1
ULTA,Terry Hanson and Dick George,TRUE,FALSE,1990,"ULTA Collection ,Bath & Body ,Makeup ,Skin Care ,Tools & Brushes ,Gifts ,Fragrance ,Nails ,Hair",513
"
										Undone Beauty
								",Ann Somma,TRUE,FALSE,2018,"Makeup ,Skin Care ,Gifts ,Tools & Brushes ,Bath & Body",29
"
										Urban Decay Cosmetics
								","Pat Holmes, Sandy Lerner, Wende Zomnir and David Soward",TRUE,FALSE,1996,"Makeup, Gifts, Tools & Brushes, Skin Care",58
"
										Urban Hydration
								",Psyche Terry,TRUE,TRUE,2010,"Skin Care ,Bath & Body",18
"
										Urban Skin Rx Pro Strength
								",Rachel Roff,TRUE,FALSE,2010,"Treatment & Serums ,Moisturizers ,Cleansers",6
"
										Urban Veda
								",Sheilesh Shah,FALSE,TRUE,2013,"Skin Care ,Gifts",20
Ursa Major,Oliver Sweatman and Emily Doyle,TRUE,FALSE,1869,"Men ,Skin Care ,Bath & Body",5
Valentino,Valentino Garavani,FALSE,FALSE,1960,"Lips ,Face",3
"
										Velour Lashes
								",Mabel Lee,TRUE,TRUE,2011,"Makeup ,Tools & Brushes ,Skin Care",22
"
										Verb
								",Claire Moses,TRUE,FALSE,2009,"Hair ,Gifts ,Bath & Body ,Men",38
"
										Vichy
								",Prosper Haller,FALSE,FALSE,1931,"Skin Care ,Bath & Body ,Makeup",34
"
										Viktor&Rolf
								",Viktor Horsting and Rolf Snoeren,FALSE,FALSE,1993,"Fragrance ,Men ,Gifts",18
"
										Virtue
								",Melisse Shaban,TRUE,FALSE,2013,"Hair ,Gifts",41
"
										VitaminSea.beauty
								",Kelly Roth,TRUE,FALSE,2016,"Global Skin Care ,Treatment & Serums ,Cleansers",11
"
										Viviscal
								",James Murphy,FALSE,FALSE,1990,"Hair ,Skin Care ,Bath & Body ,Men",6
"
										Voir
								",Nia Schindle and Andy Hoang,TRUE,TRUE,2017,"Shampoo & Conditioner ,Treatment ,Styling Products",10
"
										Volt
								",Jaro Turek,TRUE,FALSE,2001,,1
Wahl,Leo J. Wahl,FALSE,FALSE,1919,"Men ,Tools & Brushes ,Bath & Body",4
"
										Wakse
								",Shayan Sadrolashrafi and Andrew Glass,FALSE,FALSE,2018,"Bath & Body ,Skin Care",22
"
										We Are Paradoxx
								",Yolanda Cooper,TRUE,FALSE,2019,"Hair ,Bath & Body ,Skin Care ,Gifts",13
"
										Well People
								",Shirley Pinkson,TRUE,FALSE,2009,"Makeup ,Skin Care ,Tools & Brushes ,Gifts",27
"
										Wella
								",Franz Ströher,FALSE,FALSE,1880,"Shampoo & Conditioner ,Styling Products ,Treatment ,Travel Size",63
"
										Wet n Wild
								",George Millay,FALSE,FALSE,1984,"Makeup ,Tools & Brushes ,Skin Care ,Gifts",85
"
										Wigo
								",Ben Kaplan,FALSE,FALSE,2014,,13
"
										WLDKAT
								",Amy Zunzunegui,TRUE,FALSE,2019,"Skin Care ,Gifts ,Bath & Body",14
"
										Wunder2
								",Michael Malinsky,FALSE,FALSE,2015,"Makeup ,Skin Care",5
YUNI,Emmanuel Rey,FALSE,FALSE,2015,"Face Mists & Essences ,Face Oils",2
Yves Saint Laurent,Yves Saint Laurent and Pierre Bergé,FALSE,FALSE,1961,"Fragrance ,Men ,Gifts",25
ZitSticka,Daniel Kaplan and Robbie Miller,FALSE,FALSE,2017,"Skin Care ,Bath & Body",10
Zoya,Saad Malik,TRUE,TRUE,1986,"Top & Base Coats ,Nail Care ,Nail Polish",6
18.21 Man Made,"Angel del Solar, Aston LaFon and David del Solar",FALSE,FALSE,2013,"Hair ,Body Care ,Shaving ,Skin Care ,Travel Size",14
